president_number,president,term_number,term_start,term_end,poll_start,poll_end,polling_institute,approval,disapproval,no_opinion,sample_size
46,"Joe Biden",1,2021-01-20,2025-01-20,2024-07-17,2024-07-20,"American Research Group",41,53,6,1100
46,"Joe Biden",1,2021-01-20,2025-01-20,2024-07-05,2024-07-09,"ABC News / Washington Post",36,57,7,2431
46,"Joe Biden",1,2021-01-20,2025-01-20,2024-07-07,2024-07-09,"NBC News",40,58,2,800
46,"Joe Biden",1,2021-01-20,2025-01-20,2024-07-01,2024-07-07,"Pew",32,66,2,9424
46,"Joe Biden",1,2021-01-20,2025-01-20,2024-06-28,2024-07-02,"NY Times Upshot/Siena College",34,62,4,1532
46,"Joe Biden",1,2021-01-20,2025-01-20,2024-06-28,2024-06-30,"CNN",36,64,0,1274
46,"Joe Biden",1,2021-01-20,2025-01-20,2024-06-28,2024-06-30,"Suffolk / USA Today",41,57,2,1000
46,"Joe Biden",1,2021-01-20,2025-01-20,2024-06-20,2024-06-25,"NY Times Upshot/Siena College",35,61,4,1226
46,"Joe Biden",1,2021-01-20,2025-01-20,2024-06-20,2024-06-24,"Quinnipiac University",38,58,4,1405
46,"Joe Biden",1,2021-01-20,2025-01-20,2024-06-20,2024-06-24,"Associated Press/NORC Center",39,61,0,1088
46,"Joe Biden",1,2021-01-20,2025-01-20,2024-06-21,2024-06-23,"Reuters/Ipsos",37,57,6,1019
46,"Joe Biden",1,2021-01-20,2025-01-20,2024-06-17,2024-06-20,"American Research Group",44,51,5,1100
46,"Joe Biden",1,2021-01-20,2025-01-20,2024-05-01,2024-05-23,"Gallup Organization",39,56,5,1024
46,"Joe Biden",1,2021-01-20,2025-01-20,2024-05-16,2024-05-20,"Quinnipiac University",39,56,5,1374
46,"Joe Biden",1,2021-01-20,2025-01-20,2024-05-17,2024-05-20,"Ipsos",36,59,5,1017
46,"Joe Biden",1,2021-01-20,2025-01-20,2024-05-17,2024-05-20,"American Research Group",39,56,5,1100
46,"Joe Biden",1,2021-01-20,2025-01-20,2024-04-25,2024-04-30,"ABC News",35,57,8,2260
46,"Joe Biden",1,2021-01-20,2025-01-20,2024-04-18,2024-04-23,"CNN",40,60,0,1212
46,"Joe Biden",1,2021-01-20,2025-01-20,2024-04-01,2024-04-22,"Gallup Organization",38,58,4,1001
46,"Joe Biden",1,2021-01-20,2025-01-20,2024-04-18,2024-04-22,"Quinnipiac University",35,61,4,1429
46,"Joe Biden",1,2021-01-20,2025-01-20,2024-04-17,2024-04-20,"American Research Group",42,53,5,1100
46,"Joe Biden",1,2021-01-20,2025-01-20,2024-04-12,2024-04-16,"NBC News",42,56,2,1000
46,"Joe Biden",1,2021-01-20,2025-01-20,2024-04-08,2024-04-14,"Pew",35,62,2,8709
46,"Joe Biden",1,2021-01-20,2025-01-20,2024-04-12,2024-04-14,"Reuters/Ipsos",38,56,6,1016
46,"Joe Biden",1,2021-01-20,2025-01-20,2024-04-07,2024-04-11,"NY Times Upshot/Siena College",38,59,3,1059
46,"Joe Biden",1,2021-01-20,2025-01-20,2024-03-18,2024-03-28,"Marquette Law School",39,60,0,780
46,"Joe Biden",1,2021-01-20,2025-01-20,2024-03-21,2024-03-25,"Associated Press/NORC Center",38,61,1,1282
46,"Joe Biden",1,2021-01-20,2025-01-20,2024-03-21,2024-03-25,"Quinnipiac University",37,59,3,1407
46,"Joe Biden",1,2021-01-20,2025-01-20,2024-03-22,2024-03-24,"Reuters/Ipsos",40,56,4,1021
46,"Joe Biden",1,2021-01-20,2025-01-20,2024-03-01,2024-03-20,"Gallup Organization",40,55,5,1016
46,"Joe Biden",1,2021-01-20,2025-01-20,2024-03-17,2024-03-20,"American Research Group",46,50,4,1100
46,"Joe Biden",1,2021-01-20,2025-01-20,2024-03-15,2024-03-19,"CNBC",39,56,5,1001
46,"Joe Biden",1,2021-01-20,2025-01-20,2024-03-11,2024-03-17,"Grinnell College",34,57,9,1005
46,"Joe Biden",1,2021-01-20,2025-01-20,2024-03-08,2024-03-11,"Suffolk / USA Today",41,55,4,1000
46,"Joe Biden",1,2021-01-20,2025-01-20,2024-02-23,2024-02-25,"Reuters/Ipsos",37,58,5,1020
46,"Joe Biden",1,2021-01-20,2025-01-20,2024-02-01,2024-02-20,"Gallup Organization",38,59,3,1016
46,"Joe Biden",1,2021-01-20,2025-01-20,2024-02-17,2024-02-20,"American Research Group",43,51,6,1100
46,"Joe Biden",1,2021-01-20,2025-01-20,2024-02-15,2024-02-19,"Quinnipiac University",40,57,3,1421
46,"Joe Biden",1,2021-01-20,2025-01-20,2024-02-05,2024-02-15,"Marquette Law School",38,61,0,882
46,"Joe Biden",1,2021-01-20,2025-01-20,2024-01-25,2024-01-30,"CNN",38,62,0,1212
46,"Joe Biden",1,2021-01-20,2025-01-20,2024-01-26,2024-01-30,"NBC News",37,60,3,1000
46,"Joe Biden",1,2021-01-20,2025-01-20,2024-01-25,2024-01-29,"Quinnipiac University",41,55,4,1650
46,"Joe Biden",1,2021-01-20,2025-01-20,2024-01-25,2024-01-29,"Associated Press/NORC Center",38,61,1,1152
46,"Joe Biden",1,2021-01-20,2025-01-20,2024-01-26,2024-01-28,"Reuters/Ipsos",38,57,5,1019
46,"Joe Biden",1,2021-01-20,2025-01-20,2024-01-02,2024-01-22,"Gallup Organization",41,54,5,1011
46,"Joe Biden",1,2021-01-20,2025-01-20,2024-01-16,2024-01-21,"Pew",33,65,1,5140
46,"Joe Biden",1,2021-01-20,2025-01-20,2024-01-17,2024-01-20,"American Research Group",40,54,6,1100
46,"Joe Biden",1,2021-01-20,2025-01-20,2024-01-04,2024-01-08,"ABC News",33,58,9,2228
